CpuId,"CpuName",Bus speed,BX806735120,BX806735122,BX806736128,BX806736130,BX806736134,BX806736138,BX806736140,BX806736142,BX806736148,BX806736152,BX806738160,BX806738164,BX806738170,BX806738176,BX806738180,BX806895320,BX806896330,BX806896336Y,BX806955218,BX806955218R,BX806955220,BX806956226R,BX806956230,BX806956230R,BX806956234,BX806956238,BX806956248,BX806956252,BX806958256,Cache latency,CD8067302577901,CD8067302578001,CD8067303133605,CD8067303192101,CD8067303314400,CD8067303314700,CD8067303317801,CD8067303319201,CD8067303327601,CD8067303327701,CD8067303328000,CD8067303330302,CD8067303330402,CD8067303330702,CD8067303368800,CD8067303405200,CD8067303405400,CD8067303405500,CD8067303405600,CD8067303405700,CD8067303405800,CD8067303405900,CD8067303406000,CD8067303406100,CD8067303406200,CD8067303406500,CD8067303406600,CD8067303408800,CD8067303408900,CD8067303409000,CD8067303535601,CD8067303535700,CD8067303535900,CD8067303536100,CD8067303567703,CD8067303592500,CD8067303592600,CD8067303592700,CD8067303592800,CD8067303592900,CD8067303593000,CD8067303593100,CD8067303593300,CD8067303593400,CD8067303593600,CD8067303593700,CD8067303593800,CD8067303593900,CD8067303657201,CD8067303657302,CD8067303680501,CD8067303694600,CD8067303843000,CD8067303927300,CD8067303927400,CD8068904570101,CD8068904570201,CD8068904571501,CD8068904571601,CD8068904571901,CD8068904572001,CD8068904572101,CD8068904572204,CD8068904572302,CD8068904572401,CD8068904572501,CD8068904572601,CD8068904582501,CD8068904582702,CD8068904582803,CD8068904599101,CD8068904642802,CD8068904656703,CD8068904657302,CD8068904657502,CD8068904657601,CD8068904657701,CD8068904658201,CD8068904658602,CD8068904658702,CD8068904658802,CD8068904658902,CD8068904659101,CD8068904659201,CD8068904665802,CD8068904686504,CD8068904722302,CD8068904722404,CD8069504184102,CD8069504184202,CD8069504184502,CD8069504184602,CD8069504193301,CD8069504193501,CD8069504193701,CD8069504194301,CD8069504194401,CD8069504194501,CD8069504194601,CD8069504194701,CD8069504195101,CD8069504195201,CD8069504195301,CD8069504195401,CD8069504195501,CD8069504198002,CD8069504198101,CD8069504200902,CD8069504201001,CD8069504201101,CD8069504201201,CD8069504201401,CD8069504214002,CD8069504214102,CD8069504214202,CD8069504214302,CD8069504214601,CD8069504228001,CD8069504228101,CD8069504228201,CD8069504283006,CD8069504283104,CD8069504283204,CD8069504283304,CD8069504283404,CD8069504283503,CD8069504283604,CD8069504283704,CD8069504284203,CD8069504284302,CD8069504284704,CD8069504284804,CD8069504285004,CD8069504285204,CD8069504289900,CD8069504295701,CD8069504384601,CD8069504425200,CD8069504425301,CD8069504425402,CD8069504446300,CD8069504448800,CD8069504449000,CD8069504449101,CD8069504449301,CD8069504449401,CD8069504497400,CD8070604480301,CD8070604480401,CD8070604480501,CD8070604480601,CD8070604481002,CD8070604481101,CD8070604481201,CD8070604481301,CD8070604481501,CD8070604481600,CD8070604481601,CD8070604559701,CD8070604559801,CD8070604559900,CD8070604560002,Clock multiplier,CM8067303824101,Core stepping,CPUIDs,Data width,Die,Family,Fan/heatsink,Floating Point Unit,Frequency,Instruction set,Introduction date,Level 1 cache size,Level 2 cache size,Level 3 cache size,Low power features,Low power frequency,Manufacturing process,Market segment,Maximum operating temperature,Maximum turbo frequency,Microarchitecture,Model number,Multiprocessing,Physical memory,PK8071305072001,PK8071305072301,PK8071305072401,PK8071305072501,PK8071305072601,PK8071305072902,PK8071305073001,PK8071305073101,PK8071305073201,PK8071305073301,PK8071305074601,PK8071305074701,PK8071305074801,PK8071305074901,PK8071305075001,PK8071305075101,PK8071305075201,PK8071305075701,PK8071305075901,PK8071305076101,PK8071305118701,PK8071305118801,PK8071305120102,PK8071305120301,PK8071305120401,PK8071305120500,PK8071305120600,PK8071305120701,PK8071305120802,PK8071305120901,PK8071305121001,PK8071305121101,PK8071305121202,PK8071305121300,PK8071305121400,PK8071305121501,PK8071305121701,PK8071305121801,PK8071305121901,PK8071305122001,PK8071305122201,PK8071305122301,Platform,Price at introduction,Processor core,Security Features,Size,Socket,The number of CPU cores,The number of threads,Thermal Design Power,Type,Weight,"SourceUrl"
Intel-Xeon%208276M,"Intel Xeon Platinum 8276M - CD8069504195401",10.4 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,B0 B1,,64 bit,,Intel Xeon Platinum,,Integrated,2.2 GHz / 2200 MHz,x86,April 2. 2019,28 x 32 KB instruction caches 28 x 32 KB data caches,28 x 1 MB caches,38.5 MB cache,Enhanced SpeedStep technology,,0.014 micron,Server,89°C,4 GHz / 4000 MHz,Cascade Lake,8276M,Up to 8 processors,2 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$11722,Cascade Lake-SP,NX / XD / Execute disable bit    TXT / Trusted Execution technology,2.99" x 2.22" / 7.6cm x 5.65cm,Socket 3647 / P0 / LGA3647-0,28,56,165 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208276M.html"
Intel-Xeon%208280,"Intel Xeon Platinum 8280 - CD8069504228001",10.4 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,B0 B1,,64 bit,,Intel Xeon Platinum,,Integrated,2.7 GHz / 2700 MHz,x86,April 2. 2019,28 x 32 KB instruction caches 28 x 32 KB data caches,28 x 1 MB caches,38.5 MB cache,Enhanced SpeedStep technology,,0.014 micron,Server,84°C,4 GHz / 4000 MHz,Cascade Lake,8280,Up to 8 processors,1 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10009,Cascade Lake-SP,NX / XD / Execute disable bit    TXT / Trusted Execution technology,2.99" x 2.22" / 7.6cm x 5.65cm,Socket 3647 / P0 / LGA3647-0,28,56,205 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208280.html"
Intel-Xeon%208280L,"Intel Xeon Platinum 8280L - CD8069504228201",10.4 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,B0 B1,,64 bit,,Intel Xeon Platinum,,Integrated,2.7 GHz / 2700 MHz,x86,April 2. 2019,28 x 32 KB instruction caches 28 x 32 KB data caches,28 x 1 MB caches,38.5 MB cache,Enhanced SpeedStep technology,,0.014 micron,Server,84°C,4 GHz / 4000 MHz,Cascade Lake,8280L,Up to 8 processors,4.5 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$17906,Cascade Lake-SP,NX / XD / Execute disable bit    TXT / Trusted Execution technology,2.99" x 2.22" / 7.6cm x 5.65cm,Socket 3647 / P0 / LGA3647-0,28,56,205 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208280L.html"
Intel-Xeon%208280M,"Intel Xeon Platinum 8280M - CD8069504228101",10.4 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,B0 B1,,64 bit,,Intel Xeon Platinum,,Integrated,2.7 GHz / 2700 MHz,x86,April 2. 2019,28 x 32 KB instruction caches 28 x 32 KB data caches,28 x 1 MB caches,38.5 MB cache,Enhanced SpeedStep technology,,0.014 micron,Server,84°C,4 GHz / 4000 MHz,Cascade Lake,8280M,Up to 8 processors,2 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$13012,Cascade Lake-SP,NX / XD / Execute disable bit    TXT / Trusted Execution technology,2.99" x 2.22" / 7.6cm x 5.65cm,Socket 3647 / P0 / LGA3647-0,28,56,205 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208280M.html"
Intel-Xeon%208284,"Intel Xeon Platinum 8284 - CD8069504284302",10.4 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,64 bit,,Intel Xeon Platinum,,Integrated,3 GHz / 3000 MHz,x86,2nd quarter 2019,28 x 32 KB instruction caches 28 x 32 KB data caches,28 x 1 MB caches,38.5 MB cache,Enhanced SpeedStep technology,,0.014 micron,Server,65°C,4 GHz / 4000 MHz,Cascade Lake,8284,Up to 8 processors,1 TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cascade Lake-SP,NX / XD / Execute disable bit    TXT / Trusted Execution technology,2.99" x 2.22" / 7.6cm x 5.65cm,Socket 3647 / P0 / LGA3647-0,28,56,240 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208284.html"
Intel-Xeon%208350C,"Intel Xeon Platinum 8350C",11.2 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,606A6,64 bit,,Intel Xeon Platinum,,Integrated,2.6 GHz / 2600 MHz,x86,,32 x 32 KB instruction caches 32 x 48 KB data caches,32 x 1.25 MB caches,48 MB cache,Enhanced SpeedStep technology,,0.010 micron,Server,,,Ice Lake,8350C,Up to 2 processors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ice Lake-SP,NX / XD / Execute disable bit    Crypto Acceleration,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-4,32,64,,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208350C.html"
Intel-Xeon%208351N,"Intel Xeon Platinum 8351N - CD8068904582702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,D1 D2,606A6,64 bit,XCC type,Intel Xeon Platinum,,Integrated,2.4 GHz / 2400 MHz,x86,April 6. 2021,36 x 32 KB instruction caches 36 x 48 KB data caches,36 x 1.25 MB caches,54 MB shared cache,Enhanced SpeedStep technology,,0.010 micron,Server,76°C (case),3.5 GHz / 3500 MHz,Ice Lake,8351N,Uniprocessor,6 TB (DDR4 + Optane PMem 200. per socket) 4 TB (DDR4 memory. per socket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whitley,$3027,Ice Lake-SP,NX / XD / Execute disable bit    SGX / Software Guard Extensions TXT / Trusted Execution technology Total Memory Encryption Crypto Acceleration,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-4,36,72,225 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208351N.html"
Intel-Xeon%208352M,"Intel Xeon Platinum 8352M - CD8068904686504",11.2 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,D2,606A6,64 bit,XCC type,Intel Xeon Platinum,,Integrated,2.3 GHz / 2300 MHz,x86,April 6. 2021,32 x 32 KB instruction caches 32 x 48 KB data caches,32 x 1.25 MB caches,48 MB shared cache,Enhanced SpeedStep technology,,0.010 micron,Server,77°C (case),3.5 GHz / 3500 MHz,Ice Lake,8352M,Up to 2 processors,6 TB (DDR4 + Optane PMem 200. per socket) 4 TB (DDR4 memory. per socket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whitley,$3864,Ice Lake-SP,NX / XD / Execute disable bit    SGX / Software Guard Extensions TXT / Trusted Execution technology Total Memory Encryption Crypto Acceleration,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-4,32,64,185 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208352M.html"
Intel-Xeon%208352S,"Intel Xeon Platinum 8352S - CD8068904642802",11.2 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,D2,606A6,64 bit,XCC type,Intel Xeon Platinum,,Integrated,2.2 GHz / 2200 MHz,x86,April 6. 2021,32 x 32 KB instruction caches 32 x 48 KB data caches,32 x 1.25 MB caches,48 MB shared cache,Enhanced SpeedStep technology,,0.010 micron,Server,81°C (case),3.4 GHz / 3400 MHz,Ice Lake,8352S,Up to 2 processors,6 TB (DDR4 + Optane PMem 200. per socket) 4 TB (DDR4 memory. per socket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whitley,$4046,Ice Lake-SP,NX / XD / Execute disable bit    SGX / Software Guard Extensions TXT / Trusted Execution technology Total Memory Encryption Crypto Acceleration,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-4,32,64,205 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208352S.html"
Intel-Xeon%208352V,"Intel Xeon Platinum 8352V - CD8068904571501",11.2 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,D1 D2,606A6,64 bit,XCC type,Intel Xeon Platinum,,Integrated,2.1 GHz / 2100 MHz,x86,April 6. 2021,36 x 32 KB instruction caches 36 x 48 KB data caches,36 x 1.25 MB caches,54 MB shared cache,Enhanced SpeedStep technology,,0.010 micron,Server,78°C (case),3.5 GHz / 3500 MHz,Ice Lake,8352V,Up to 2 processors,6 TB (DDR4 + Optane PMem 200. per socket) 4 TB (DDR4 memory. per socket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whitley,$3450,Ice Lake-SP,NX / XD / Execute disable bit    SGX / Software Guard Extensions TXT / Trusted Execution technology Total Memory Encryption Crypto Acceleration,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-4,36,72,195 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208352V.html"
Intel-Xeon%208352Y,"Intel Xeon Platinum 8352Y - CD8068904572401",11.2 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,D1 D2,606A6,64 bit,XCC type,Intel Xeon Platinum,,Integrated,2.2 GHz / 2200 MHz,x86,April 6. 2021,32 x 32 KB instruction caches 32 x 48 KB data caches,32 x 1.25 MB caches,48 MB shared cache,Enhanced SpeedStep technology,,0.010 micron,Server,81°C (case),3.4 GHz / 3400 MHz,Ice Lake,8352Y,Up to 2 processors,6 TB (DDR4 + Optane PMem 200. per socket) 4 TB (DDR4 memory. per socket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whitley,$3450,Ice Lake-SP,NX / XD / Execute disable bit    SGX / Software Guard Extensions TXT / Trusted Execution technology Total Memory Encryption Crypto Acceleration,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-4,32,64,205 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208352Y.html"
Intel-Xeon%208353H,"Intel Xeon Platinum 8353H - CD8070604481601",10.4 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,A1,,64 bit,,Intel Xeon Platinum,,Integrated,2.5 GHz / 2500 MHz,x86,Jun 18. 2020,18 x 32 KB instruction caches 18 x 32 KB data caches,18 x 1 MB caches,24.75 MB shared cache,Enhanced SpeedStep technology,,0.014 micron,Server,,3.8 GHz / 3800 MHz,Cooper Lake,8353H,Up to 8 processors,1.12 TB (per socket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cedar Island,$3003,Cooper Lake-SP,NX / XD / Execute disable bit    MPX / Memory Protection Extensions,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-5,18,36,150 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208353H.html"
Intel-Xeon%208354H,"Intel Xeon Platinum 8354H - CD8070604481002",10.4 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,31,,A1,,64 bit,,Intel Xeon Platinum,,Integrated,3.1 GHz / 3100 MHz,x86,Jun 18. 2020,18 x 32 KB instruction caches 18 x 32 KB data caches,18 x 1 MB caches,24.75 MB shared cache,Enhanced SpeedStep technology,,0.014 micron,Server,,4.3 GHz / 4300 MHz,Cooper Lake,8354H,Up to 8 processors,1.12 TB (per socket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cedar Island,$3500,Cooper Lake-SP,NX / XD / Execute disable bit    MPX / Memory Protection Extensions,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-5,18,36,205 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208354H.html"
Intel-Xeon%208356H,"Intel Xeon Platinum 8356H - CD8070604559701",10.4 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,39,,A1,,64 bit,,Intel Xeon Platinum,,Integrated,3.9 GHz / 3900 MHz,x86,3rd quarter 2020,8 x 32 KB instruction caches 8 x 32 KB data caches,8 x 1 MB caches,35.75 MB shared cache,Enhanced SpeedStep technology,,0.014 micron,Server,,4.4 GHz / 4400 MHz,Cooper Lake,8356H,Up to 8 processors,1.12 TB (per socket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cedar Island,$3400,Cooper Lake-SP,NX / XD / Execute disable bit    MPX / Memory Protection Extensions,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-5,8,16,190 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208356H.html"
Intel-Xeon%208358,"Intel Xeon Platinum 8358 - CD8068904572302",11.2 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,D2,606A6,64 bit,XCC type,Intel Xeon Platinum,,Integrated,2.6 GHz / 2600 MHz,x86,April 6. 2021,32 x 32 KB instruction caches 32 x 48 KB data caches,32 x 1.25 MB caches,48 MB shared cache,Enhanced SpeedStep technology,,0.010 micron,Server,81°C (case),3.4 GHz / 3400 MHz,Ice Lake,8358,Up to 2 processors,6 TB (DDR4 + Optane PMem 200. per socket) 4 TB (DDR4 memory. per socket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whitley,$3950,Ice Lake-SP,NX / XD / Execute disable bit    SGX / Software Guard Extensions TXT / Trusted Execution technology Total Memory Encryption Crypto Acceleration,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-4,32,64,250 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208358.html"
Intel-Xeon%208358P,"Intel Xeon Platinum 8358P - CD8068904599101",11.2 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 (L1 cache) 14 (L2 cache),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,D1 D2,606A6,64 bit,XCC type,Intel Xeon Platinum,,Integrated,2.6 GHz / 2600 MHz,x86,April 6. 2021,32 x 32 KB instruction caches 32 x 48 KB data caches,32 x 1.25 MB caches,48 MB shared cache,Enhanced SpeedStep technology,,0.010 micron,Server,80°C (case),3.4 GHz / 3400 MHz,Ice Lake,8358P,Up to 2 processors,6 TB (DDR4 + Optane PMem 200. per socket) 4 TB (DDR4 memory. per socket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whitley,$3950,Ice Lake-SP,NX / XD / Execute disable bit    SGX / Software Guard Extensions TXT / Trusted Execution technology Total Memory Encryption Crypto Acceleration,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-4,32,64,240 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208358P.html"
Intel-Xeon%208360H,"Intel Xeon Platinum 8360H - CD8070604559900",10.4 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,A1,,64 bit,,Intel Xeon Platinum,,Integrated,3 GHz / 3000 MHz,x86,3rd quarter 2020,24 x 32 KB instruction caches 24 x 32 KB data caches,24 x 1 MB caches,33 MB shared cache,Enhanced SpeedStep technology,,0.014 micron,Server,,4.2 GHz / 4200 MHz,Cooper Lake,8360H,Up to 8 processors,1.12 TB (per socket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cedar Island,$4200,Cooper Lake-SP,NX / XD / Execute disable bit    MPX / Memory Protection Extensions,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-5,24,48,225 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208360H.html"
Intel-Xeon%208360HL,"Intel Xeon Platinum 8360HL - CD8070604559801",10.4 GT/s Ultra Path Interconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,A1,,64 bit,,Intel Xeon Platinum,,Integrated,3 GHz / 3000 MHz,x86,3rd quarter 2020,24 x 32 KB instruction caches 24 x 32 KB data caches,24 x 1 MB caches,33 MB shared cache,Enhanced SpeedStep technology,,0.014 micron,Server,,4.2 GHz / 4200 MHz,Cooper Lake,8360HL,Up to 8 processors,4.5 TB (per socket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cedar Island,$7203,Cooper Lake-SP,NX / XD / Execute disable bit    MPX / Memory Protection Extensions,3.05" x 2.22" / 7.75cm x 5.65cm,Socket LGA4189-5,24,48,225 Watt,CPU / Microprocessor,,"https://www.cpu-world.com/CPUs/Xeon/Intel-Xeon%208360HL.html"
